Date,Demand(MW),Temp(C),IsHoliday,humidity,feelslike
2023-11-07,12200,26.5,0,64.1,27.0
2023-11-06,12000,27.1,0,64.7,27.8
2023-11-05,12800,27.8,0,66.2,29.0
2023-11-04,12500,28.3,0,63.4,29.8
2023-11-03,12000,28.5,1,64.6,30.2
2023-11-02,12700,29.1,0,62.3,30.9
2023-11-01,12700,28.7,0,65.6,30.9
2023-10-31,12000,27.6,0,66.8,28.8
2023-10-30,13000,27.3,0,70.3,28.5
2023-10-29,13000,27.4,0,60.8,28.0
2023-10-28,12500,27.7,0,62.7,28.3
2023-10-27,11800,27.9,1,68.9,29.1
2023-10-26,13500,27.9,0,70.7,29.5
2023-10-25,13000,28.2,0,70.7,30.2
2023-10-24,12000,27.1,0,76.4,28.7
2023-10-23,13600,26.7,0,80.2,28.0
2023-10-22,14000,28.5,0,65.0,30.3
2023-10-21,13000,28.3,0,64.9,29.9
2023-10-20,12500,28.7,1,64.5,30.5
2023-10-19,14000,28.4,0,68.5,30.7
2023-10-18,14000,28.9,0,67.5,31.3
2023-10-17,14000,28.8,0,72.1,31.8
2023-10-16,14000,28.7,0,71.8,31.6
2023-10-15,14500,29.2,0,68.4,32.7
2023-10-14,13500,29.3,0,67.6,32.1
2023-10-13,13000,29.8,1,68.6,33.6
2023-10-12,14350,30.1,0,71.8,35.2
2023-10-11,14500,29.8,0,74.9,35.6
2023-10-10,14500,29.4,0,75.3,34.5
2023-10-09,14500,29.9,0,72.5,35.2
2023-10-08,14500,29.8,0,73.5,35.2
2023-10-07,12500,29.1,0,78.5,34.3
2023-10-06,11500,26.8,1,90.7,29.6
2023-10-05,13200,27.1,0,88.9,30.1
2023-10-04,13600,27.6,0,84.3,31.2
2023-10-03,14100,28.2,0,78.6,32.3
2023-10-02,14000,30.0,0,73.3,35.5
2023-10-01,15300,30.2,0,73.5,36.3
2023-09-30,14000,29.9,0,73.2,35.2
2023-09-29,14700,30.9,1,70.9,37.2
2023-09-28,14500,31.5,0,70.1,38.5
2023-09-27,15000,30.3,0,75.0,36.9
2023-09-26,14500,29.9,0,76.7,36.4
2023-09-25,14400,29.7,0,75.3,35.4
2023-09-24,14200,28.9,0,77.3,33.7
2023-09-23,13500,28.5,0,80.5,33.6
2023-09-22,13000,29.0,1,81.1,34.3
2023-09-21,14500,28.6,0,81.5,33.6
2023-09-20,15000,28.1,0,82.3,32.7
2023-09-19,14900,28.3,0,83.5,33.0
2023-09-18,15000,28.9,0,77.3,33.4
