File_Name,Report_Date,Day_ProbPeakGen(MW),Evening_ProbPeakGen(MW),ProbMaxDemand(MW),ProbMaxGen(MW)
summary_20240908_20240908150152.pdf,08.09.24,14350,15540,15900,15540
7738report.pdf,22.06.24,14398,16274,13700,16274
5484report.pdf,27.05.21,14045,15225,12500,15225
7448report.pdf,22.01.24,10330,11175,10800,11175
7162report.pdf,10.09.23,13667,16167,15500,16167
7481report.pdf,14.02.24,11281,12246,11000,12246
5398report.pdf,14.04.21,14755,15498,13200,15498
5351report.pdf,21.03.21,14744,15629,12500,15629
7354report.pdf,15.12.23,10118,11071,9800,11071
5392report.pdf,11.04.21,14257,14996,13100,14996
7397report.pdf,05.01.24,11051,11881,10000,11881
summary_20241031_20241031134024.pdf,31.10.24,12010,13171,14000,13171
summary_20240731_20240801134938.pdf,31.07.24,14488,16160,16000,16160
7732report.pdf,19.06.24,14565,16012,12500,16012
7504report.pdf,26.02.24,11247,12703,10000,12703
5501report.pdf,04.06.21,15099,16011,12000,16011
6028report.pdf,22.02.22,11538,12170,10100,12170
6996report.pdf,19.06.23,12642,14973,14800,14973
4394report.pdf,23.11.19,12230,15020,8500,15020
summary_20240813_20240814113055.pdf,13.08.24,15171,16286,14700,16286
6358report.pdf,04.08.22,11106,12591,14000,12591
6672report.pdf,08.01.23,8691,9879,10000,9879
6391report.pdf,20.08.22,11323,13826,14000,13826
7748report.pdf,27.06.24,13952,14691,16000,14691
5267report.pdf,07.02.21,12398,13622,9300,13622
5784report.pdf,24.10.21,13578,14773,12600,14773
5860report.pdf,01.12.21,12330,13760,9600,13760
summary_20241027_20241027135646.pdf,27.10.24,12904,14073,14300,14073
5098report.pdf,15.11.20,12936,14363,10300,14363
summary_20241127_20241128120629.pdf,27.11.24,13263,14013,10800,14013
7324report.pdf,30.11.23,12413,13713,11000,13713
5117report.pdf,24.11.20,12603,13903,9200,13903
6114report.pdf,06.04.22,13332,14251,14600,14251
4920report.pdf,18.08.20,13698,14851,11900,14851
6322report.pdf,17.07.22,13928,15251,14600,15251
4866report.pdf,22.07.20,13150,14569,11300,14569
6052report.pdf,06.03.22,12246,12790,11400,12790
6863report.pdf,13.04.23,13356,15303,15200,15303
6787report.pdf,07.03.23,11192,13058,12700,13058
4782report.pdf,10.06.20,12855,15223,12200,15223
4796report.pdf,17.06.20,13563,15023,11500,15023
6270report.pdf,21.06.22,13284,14787,13900,14787
4872report.pdf,25.07.20,13487,14684,11600,14684
6100report.pdf,31.03.22,13891,14815,13500,14815
4934report.pdf,25.08.20,13480,14445,12500,14445
7106report.pdf,13.08.23,12480,14635,13500,14635
5429report.pdf,29.04.21,14922,16101,13500,16101
summary_20240817_20240818124030.pdf,17.08.24,14089,15100,14500,15100
5874report.pdf,08.12.21,11700,13060,9700,13060
5790report.pdf,27.10.21,13471,14687,12000,14687
7276report.pdf,06.11.23,12451,14227,12000,14227
6666report.pdf,05.01.23,8844,10902,9900,10902
6499report.pdf,13.10.22,11104,12962,12800,12962
4987report.pdf,20.09.20,13304,14381,13000,14381
6982report.pdf,12.06.23,13053,15288,14600,15288
4808report.pdf,23.06.20,12719,14198,11700,14198
7510report.pdf,29.02.24,12631,12993,11600,12993
7726report.pdf,16.06.24,14920,16170,13600,16170
7456report.pdf,02.02.24,10401,11091,10300,11091
5981report.pdf,29.01.22,11516,12341,9800,12341
5948report.pdf,14.01.22,10929,11767,8600,11767
7660report.pdf,14.05.24,16244,16954,16000,16954
7383report.pdf,29.12.23,10542,11490,10200,11490
5386report.pdf,08.04.21,14883,15688,12900,15688
summary_20241201_20241201141438.pdf,01.12.24,13306,14080,10900,14080
6584report.pdf,25.11.22,8783,10688,10200,10688
6067report.pdf,13.03.22,12691,13132,12500,13132
6856report.pdf,10.04.23,12716,15238,14500,15238
summary_20241010_20241011233945.pdf,10.10.24,13443,14579,13500,14579
6298report.pdf,05.07.22,11820,13070,14000,13070
6251report.pdf,11.06.22,14082,14763,13600,14763
6910report.pdf,07.05.23,13069,14635,14600,14635
6317report.pdf,14.07.22,13358,15416,12800,15416
5314report.pdf,03.03.21,13400,14330,11000,14330
7311report.pdf,23.11.23,12328,14190,11500,14190
5408report.pdf,19.04.21,14846,16041,12900,16041
5122report.pdf,27.11.20,12807,14211,8000,14211
summary_20241030_20241030125233.pdf,30.10.24,12305,13623,14000,13623
5913report.pdf,27.12.21,11613,12950,9800,12950
5778report.pdf,21.10.21,13551,14579,12400,14579
7061report.pdf,21.07.23,13403,15634,14300,15634
7582report.pdf,05.04.24,13189,14692,15300,14692
5587report.pdf,17.07.21,14484,15427,13300,15427
5064report.pdf,29.10.20,13841,14942,11800,14942
5228report.pdf,19.01.21,12323,13459,9400,13459
7531report.pdf,10.03.24,12530,13131,12300,13131
5534report.pdf,21.06.21,14187,15113,12900,15113
7641report.pdf,04.05.24,15199,16951,15500,16951
7688report.pdf,28.05.24,11004,13704,12000,13704
5158report.pdf,15.12.20,11586,13405,9000,13405
7194report.pdf,26.09.23,14789,16581,14500,16581
7180report.pdf,19.09.23,14108,15935,14900,15935
7463report.pdf,05.02.24,10188,11007,10900,11007
