ReportDate,IsHoliday,DayOfWeek,ProbableMaxDemand_MW_Forecast,ProbableMaxGeneration_MW_Forecast,GrossTotal_ProbableDayPeakGeneration_MW,GrossTotal_ProbableEveningPeakGeneration_MW
2021-10-22,Yes,Friday,11000.0,14404.0,13367.0,14404.0
2021-10-23,No,Saturday,11500.0,14460.0,13375.0,14460.0
2021-10-24,No,Sunday,12600.0,14773.0,13578.0,14773.0
2021-10-25,No,Monday,12000.0,15057.0,13898.0,15057.0
2021-09-26,No,Sunday,13300.0,14930.0,13988.0,14930.0
2021-10-27,No,Wednesday,12000.0,14687.0,13471.0,14687.0
2021-10-28,No,Thursday,12000.0,14684.0,13532.0,14684.0
2021-10-29,Yes,Friday,10700.0,14776.0,13488.0,14776.0
2021-10-30,No,Saturday,11700.0,14749.0,13595.0,14749.0
2021-10-31,No,Sunday,12000.0,14758.0,13495.0,14758.0
2021-11-01,No,Monday,11000.0,14872.0,13529.0,14872.0
2021-11-02,No,Tuesday,11000.0,15038.0,13635.0,15038.0
2021-11-03,No,Wednesday,10500.0,14571.0,13260.0,14571.0
2021-11-04,No,Thursday,10500.0,14362.0,12827.0,14362.0
2021-11-05,Yes,Friday,9600.0,14087.0,12831.0,14087.0
2021-11-06,No,Saturday,10300.0,14387.0,13043.0,14387.0
2021-11-07,No,Sunday,10400.0,14099.0,12797.0,14099.0
2021-11-08,No,Monday,10000.0,13765.0,12465.0,13765.0
2021-11-07,No,Sunday,10400.0,14099.0,12797.0,14099.0
2021-11-10,No,Wednesday,10500.0,14185.0,12709.0,14185.0
2021-11-11,No,Thursday,10500.0,14075.0,12659.0,14075.0
2021-11-13,No,Saturday,10500.0,14233.0,12741.0,14233.0
2021-11-12,Yes,Friday,10000.0,14434.0,12967.0,14434.0
2021-11-14,No,Sunday,9800.0,13624.0,12128.0,13624.0
2021-11-15,No,Monday,9300.0,13663.0,12163.0,13663.0
2021-11-16,No,Tuesday,9800.0,13864.0,12318.0,13864.0
2021-11-17,No,Wednesday,9700.0,13953.0,12450.0,13953.0
2021-11-18,No,Thursday,9900.0,14353.0,12870.0,14353.0
2021-11-19,Yes,Friday,9000.0,14484.0,12888.0,14484.0
2021-11-20,No,Saturday,9200.0,14514.0,12993.0,14514.0
2021-11-21,No,Sunday,10200.0,14618.0,13106.0,14618.0
2021-11-22,No,Monday,9700.0,14263.0,12837.0,14263.0
2021-11-23,No,Tuesday,10000.0,13720.0,12350.0,13720.0
2021-11-24,No,Wednesday,10300.0,13553.0,12259.0,13553.0
2021-11-25,No,Thursday,9900.0,13615.0,12387.0,13615.0
2021-11-26,Yes,Friday,9000.0,13209.0,11810.0,13209.0
2021-11-27,No,Saturday,8800.0,13207.0,11913.0,13207.0
2021-11-28,No,Sunday,9700.0,13218.0,11925.0,13218.0
2021-11-29,No,Monday,9300.0,13301.0,11868.0,13301.0
2021-11-30,No,Tuesday,9300.0,13923.0,12509.0,13923.0
2021-12-01,No,Wednesday,9600.0,13760.0,12330.0,13760.0
2021-12-02,No,Thursday,9700.0,13781.0,12492.0,13781.0
2021-12-03,Yes,Friday,9000.0,12380.0,11040.0,12380.0
2021-12-04,No,Saturday,9000.0,12415.0,11140.0,12415.0
2021-12-05,No,Sunday,9600.0,12926.0,11581.0,12926.0
2021-12-06,No,Monday,9500.0,13078.0,11755.0,13078.0
2021-12-07,No,Tuesday,9200.0,13171.0,11795.0,13171.0
2021-12-08,No,Wednesday,9700.0,13060.0,11700.0,13060.0
2021-12-09,No,Thursday,9700.0,13400.0,11950.0,13400.0
2021-12-10,Yes,Friday,8500.0,12992.0,11559.0,12992.0
2021-12-11,No,Saturday,9000.0,13484.0,12096.0,13484.0
2021-12-12,No,Sunday,9800.0,12980.0,11640.0,12980.0
2021-12-13,No,Monday,9600.0,13104.0,11768.0,13104.0
2021-12-14,No,Tuesday,9600.0,13176.0,11842.0,13176.0
2021-12-15,No,Wednesday,9200.0,13042.0,11355.0,13042.0
2021-12-16,No,Thursday,8600.0,13138.0,11807.0,13138.0
2021-12-17,Yes,Friday,8300.0,12792.0,11456.0,12792.0
2021-12-18,No,Saturday,9100.0,13055.0,11721.0,13055.0
2021-12-19,No,Sunday,9300.0,13282.0,11962.0,13282.0
2021-12-20,No,Monday,9200.0,12929.0,11731.0,12929.0
2021-12-21,No,Tuesday,9200.0,12966.0,11600.0,12966.0
2021-12-22,No,Wednesday,9500.0,13080.0,11720.0,13080.0
2021-12-23,No,Thursday,9400.0,12470.0,11075.0,12470.0
2021-12-24,Yes,Friday,8300.0,12635.0,11262.0,12635.0
2021-12-25,No,Saturday,9200.0,13034.0,11796.0,13034.0
2021-12-26,No,Sunday,9500.0,13215.0,11778.0,13215.0
2021-12-27,No,Monday,9800.0,12950.0,11613.0,12950.0
2021-12-28,No,Tuesday,9800.0,12361.0,11433.0,12361.0
2021-12-29,No,Wednesday,9500.0,12253.0,11383.0,12253.0
2021-12-30,No,Thursday,9500.0,12076.0,10918.0,12076.0
2021-12-31,Yes,Friday,8500.0,12355.0,11219.0,12355.0
2022-01-01,No,Saturday,9200.0,12422.0,11496.0,12422.0
2022-01-02,No,Sunday,9600.0,12090.0,11165.0,12090.0
2022-01-03,No,Monday,9300.0,11967.0,11052.0,11967.0
2022-01-04,No,Tuesday,9300.0,11982.0,11089.0,11982.0
2022-01-05,No,Wednesday,9500.0,12501.0,11458.0,12501.0
2022-01-06,No,Thursday,9500.0,12473.0,11582.0,12473.0
2022-01-07,Yes,Friday,8500.0,12210.0,11240.0,12210.0
2022-01-08,No,Saturday,9200.0,12061.0,11197.0,12061.0
2022-01-09,No,Sunday,9800.0,11677.0,10881.0,11677.0
2022-01-10,No,Monday,9600.0,11907.0,11116.0,11907.0
