Report Date,Zone,Generation(MW)
2024-10-17,Sylhet,2783
2024-10-17,Mymensing,572
2024-10-17,Cumilla,3177
2024-10-17,Dhaka,41
2024-10-17,Chattogram,4477
2024-10-16,Cumilla,2728
2024-10-16,Chattogram,4065
2024-10-16,Dhaka,40
2024-10-16,Rangpur,1151
2024-10-16,Barishal,4012
2024-10-16,Khulna,3812
2024-10-16,Sylhet,2764
2024-10-16,Mymensing,572
2024-10-16,Rajshahi,4145
2024-10-15,Mymensing,574
2024-10-15,Sylhet,2744
2024-10-15,Khulna,3726
2024-10-15,Dhaka,39
2024-10-15,Barishal,4012
2024-10-15,Rajshahi,4120
2024-10-15,Rangpur,1151
2024-10-15,Chattogram,3921
2024-10-15,Cumilla,3016
2024-10-14,Barishal,3879
2024-10-14,Dhaka,38
2024-10-14,Chattogram,3888
2024-10-14,Cumilla,3430
2024-10-14,Mymensing,581
2024-10-14,Sylhet,2728
2024-10-14,Khulna,3360
2024-10-14,Rajshahi,4298
2024-10-14,Rangpur,1174
2024-10-13,Dhaka,37
2024-10-13,Chattogram,3825
2024-10-13,Mymensing,571
2024-10-13,Sylhet,3177
2024-10-13,Rangpur,1168
2024-10-13,Rajshahi,4298
2024-10-13,Barishal,3989
2024-10-13,Khulna,3454
2024-10-13,Cumilla,3140
2024-10-12,Khulna,3396
2024-10-12,Rajshahi,4302
2024-10-12,Barishal,3989
2024-10-12,Rangpur,1169
2024-10-12,Sylhet,3281
2024-10-12,Mymensing,581
2024-10-12,Cumilla,3341
2024-10-12,Chattogram,3858
2024-10-12,Dhaka,36
2024-10-11,Khulna,2600
2024-10-11,Sylhet,3247
2024-10-11,Rangpur,1169
2024-10-11,Barishal,3932
2024-10-11,Rajshahi,4282
2024-10-11,Mymensing,581
2024-10-11,Cumilla,3322
2024-10-11,Chattogram,3883
2024-10-11,Dhaka,35
2024-10-10,Dhaka,34
2024-10-10,Khulna,2595
2024-10-10,Chattogram,4012
2024-10-10,Sylhet,3163
2024-10-10,Cumilla,3299
2024-10-10,Mymensing,581
2024-10-10,Barishal,3932
2024-10-10,Rajshahi,4182
2024-10-10,Rangpur,1169
2024-10-09,Sylhet,2933
2024-10-09,Rangpur,1149
2024-10-09,Mymensing,575
2024-10-09,Dhaka,33
2024-10-09,Chattogram,4104
2024-10-09,Cumilla,3313
2024-10-09,Khulna,3487
2024-10-09,Rajshahi,4182
2024-10-09,Barishal,3932
2024-10-08,Rajshahi,4450
2024-10-08,Rangpur,1168
2024-10-08,Mymensing,585
2024-10-08,Barishal,3932
2024-10-08,Cumilla,3362
2024-10-08,Chattogram,4286
2024-10-08,Dhaka,32
2024-10-08,Khulna,3569
2024-10-08,Sylhet,3026
2024-10-07,Rangpur,1169
2024-10-07,Cumilla,3741
2024-10-07,Dhaka,31
2024-10-07,Chattogram,4282
2024-10-07,Mymensing,580
2024-10-07,Rajshahi,4762
2024-10-07,Khulna,3713
2024-10-07,Sylhet,3188
2024-10-07,Barishal,3931
2024-10-06,Khulna,3723
2024-10-06,Chattogram,4261
2024-10-06,Cumilla,3692
2024-10-06,Mymensing,569
2024-10-06,Sylhet,3126
2024-10-06,Rangpur,1162
2024-10-06,Rajshahi,4646
2024-10-06,Barishal,3931
2024-10-06,Dhaka,30
2024-10-05,Cumilla,3298
2024-10-05,Chattogram,4233
2024-10-05,Khulna,3684
2024-10-05,Barishal,3803
2024-10-05,Rajshahi,4613
2024-10-05,Rangpur,1154
2024-10-05,Sylhet,3218
2024-10-05,Mymensing,569
2024-10-05,Dhaka,29
2024-10-04,Barishal,3723
2024-10-04,Chattogram,4238
2024-10-04,Rangpur,1134
2024-10-04,Rajshahi,4649
2024-10-04,Dhaka,28
2024-10-04,Cumilla,3328
2024-10-04,Khulna,3899
2024-10-04,Sylhet,3018
2024-10-04,Mymensing,572
2024-10-03,Chattogram,4227
2024-10-03,Cumilla,3164
2024-10-03,Mymensing,572
2024-10-03,Sylhet,3184
2024-10-03,Khulna,3909
2024-10-03,Barishal,3723
2024-10-03,Rajshahi,4549
2024-10-03,Rangpur,1144
2024-10-03,Dhaka,27
2024-10-02,Chattogram,4382
2024-10-02,Dhaka,26
2024-10-02,Rajshahi,4635
2024-10-02,Cumilla,3337
2024-10-02,Rangpur,1144
2024-10-02,Khulna,4049
2024-10-02,Barishal,3895
2024-10-02,Sylhet,2964
2024-10-02,Mymensing,572
2024-10-01,Sylhet,2854
2024-10-01,Mymensing,638
2024-10-01,Cumilla,3270
2024-10-01,Chattogram,4317
2024-10-01,Rangpur,1144
2024-10-01,Rajshahi,4585
2024-10-01,Dhaka,25
2024-10-01,Barishal,4095
2024-10-01,Khulna,4406
2024-09-30,Rangpur,1158
2024-09-30,Mymensing,582
2024-09-30,Cumilla,3658
2024-09-30,Sylhet,3186
2024-09-30,Khulna,5513
2024-09-30,Barishal,2851
2024-09-30,Rajshahi,4937
2024-09-30,Chattogram,5167
2024-09-30,Dhaka,54
2024-09-29,Dhaka,53
2024-09-29,Cumilla,3665
2024-09-29,Mymensing,638
2024-09-29,Chattogram,4921
2024-09-29,Sylhet,3118
2024-09-29,Rajshahi,4381
2024-09-29,Khulna,5493
2024-09-29,Barishal,4175
2024-09-29,Rangpur,1158
2024-09-28,Dhaka,52
2024-09-28,Chattogram,5522
2024-09-28,Cumilla,3741
2024-09-28,Mymensing,644
2024-09-28,Sylhet,3168
2024-09-28,Barishal,4175
2024-09-28,Rajshahi,4338
2024-09-28,Rangpur,1081
2024-09-28,Khulna,4189
2024-09-27,Chattogram,5422
2024-09-27,Cumilla,3783
2024-09-27,Mymensing,624
2024-09-27,Sylhet,3205
2024-09-27,Khulna,4109
2024-09-27,Barishal,4175
2024-09-27,Rajshahi,4205
2024-09-27,Rangpur,1077
2024-09-27,Dhaka,51
2024-09-26,Dhaka,50
2024-09-26,Chattogram,5402
2024-09-26,Rangpur,1077
2024-09-26,Barishal,4175
2024-09-26,Khulna,4039
2024-09-26,Sylhet,3196
2024-09-26,Mymensing,622
2024-09-26,Cumilla,3725
2024-09-26,Rajshahi,4191
2024-09-25,Khulna,5256
2024-09-25,Dhaka,49
2024-09-25,Rangpur,1017
2024-09-25,Chattogram,5402
2024-09-25,Cumilla,3685
2024-09-25,Mymensing,616
2024-09-25,Rajshahi,4191
2024-09-25,Barishal,4113
